year,quarter_label,state,average_price_rm,property_type,source_file,quarter
2009,Q2,Kuala Lumpur,349087.38,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Melaka,103902.05,All houses,all_houses_by_state.xlsx,2
2009,Q2,Melaka,191472.04,Detached house,detached_by_state.xlsx,2
2009,Q2,Melaka,236876.78,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Melaka,86500.22,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Negeri Sembilan,130640.46,All houses,all_houses_by_state.xlsx,2
2009,Q2,Negeri Sembilan,240299.15,Detached house,detached_by_state.xlsx,2
2009,Q2,Negeri Sembilan,205770.06,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Negeri Sembilan,108395.58,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Pahang,138156.38,All houses,all_houses_by_state.xlsx,2
2009,Q2,Pahang,148393.83,Detached house,detached_by_state.xlsx,2
2009,Q2,Pahang,204969.32,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Pahang,126451.12,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Penang,217624.4,All houses,all_houses_by_state.xlsx,2
2009,Q2,Penang,432051.22,Detached house,detached_by_state.xlsx,2
2009,Q2,Penang,310790.17,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Penang,255146.1,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Perak,109477.88,All houses,all_houses_by_state.xlsx,2
2009,Q2,Perak,114422.62969975066,Detached house,detached_by_state.xlsx,2
2009,Q2,Perak,183644.17,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Perak,98374.72,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Perlis,103080.09,All houses,all_houses_by_state.xlsx,2
2009,Q2,Perlis,202314.76,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Perlis,81461.11,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Sabah,231972.28,All houses,all_houses_by_state.xlsx,2
2009,Q2,Sabah,386793.28,Detached house,detached_by_state.xlsx,2
2009,Q2,Sabah,378852.67,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Sabah,223999.14,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Sarawak,243427.74,All houses,all_houses_by_state.xlsx,2
2009,Q2,Sarawak,309566.91,Detached house,detached_by_state.xlsx,2
2009,Q2,Sarawak,294790.03,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Sarawak,195785.46129374337,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Selangor,221584.05,All houses,all_houses_by_state.xlsx,2
2009,Q2,Selangor,442177.02,Detached house,detached_by_state.xlsx,2
2009,Q2,Selangor,590794.24,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Selangor,219963.21,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Terengganu,147433.96,All houses,all_houses_by_state.xlsx,2
2009,Q2,Terengganu,184162.04,Detached house,detached_by_state.xlsx,2
2009,Q2,Terengganu,178629.21,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Terengganu,98730.96,Terraced house,terraced_by_state.xlsx,2
2009,Q3,Johor,160104.25422492402,All houses,all_houses_by_state.xlsx,3
2009,Q3,Johor,201969.18,Detached house,detached_by_state.xlsx,3
2009,Q3,Johor,372141.37,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Johor,146453.13,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Kedah,123288.29,All houses,all_houses_by_state.xlsx,3
2009,Q3,Kedah,228169.3,Detached house,detached_by_state.xlsx,3
2009,Q3,Kedah,171802.38,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Kedah,97004.57,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Kelantan,107935.99256147539,All houses,all_houses_by_state.xlsx,3
2009,Q3,Kelantan,95623.65,Detached house,detached_by_state.xlsx,3
2009,Q3,Kelantan,177243.0665142267,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Kelantan,112985.76,Terraced house,terraced_by_state.xlsx,3
